1,1,some,bare,0,audio/some.wav,imgs/0.jpg
2,2,most,bare,0,audio/most.wav,imgs/0.jpg
3,3,a,bare,0,audio/a.wav,imgs/0.jpg
4,4,three,bare,0,audio/three.wav,imgs/0.jpg
5,5,some,focus,0,audio/f_SOME.wav,imgs/0.jpg
6,6,most,focus,0,audio/f_MOST.wav,imgs/0.jpg
7,7,a,focus,0,audio/f_A.wav,imgs/0.jpg
8,8,three,focus,0,audio/f_THREE.wav,imgs/0.jpg
9,1,some,bare,0.25,audio/some.wav,imgs/25.jpg
10,2,most,bare,0.25,audio/most.wav,imgs/25.jpg
11,3,a,bare,0.25,audio/a.wav,imgs/25.jpg
12,4,three,bare,0.25,audio/three.wav,imgs/25.jpg
13,5,some,focus,0.25,audio/f_SOME.wav,imgs/25.jpg
14,6,most,focus,0.25,audio/f_MOST.wav,imgs/25.jpg
15,7,a,focus,0.25,audio/f_A.wav,imgs/25.jpg
16,8,three,focus,0.25,audio/f_THREE.wav,imgs/25.jpg
17,1,some,bare,0.5,audio/some.wav,imgs/50.jpg
18,2,most,bare,0.5,audio/most.wav,imgs/50.jpg
19,3,a,bare,0.5,audio/a.wav,imgs/50.jpg
20,4,three,bare,0.5,audio/three.wav,imgs/50.jpg
21,5,some,focus,0.5,audio/f_SOME.wav,imgs/50.jpg
22,6,most,focus,0.5,audio/f_MOST.wav,imgs/50.jpg
23,7,a,focus,0.5,audio/f_A.wav,imgs/50.jpg
24,8,three,focus,0.5,audio/f_THREE.wav,imgs/50.jpg
25,1,some,bare,0.75,audio/some.wav,imgs/75.jpg
26,2,most,bare,0.75,audio/most.wav,imgs/75.jpg
27,3,a,bare,0.75,audio/a.wav,imgs/75.jpg
28,4,three,bare,0.75,audio/three.wav,imgs/75.jpg
29,5,some,focus,0.75,audio/f_SOME.wav,imgs/75.jpg
30,6,most,focus,0.75,audio/f_MOST.wav,imgs/75.jpg
31,7,a,focus,0.75,audio/f_A.wav,imgs/75.jpg
32,8,three,focus,0.75,audio/f_THREE.wav,imgs/75.jpg
33,1,some,bare,1,audio/some.wav,imgs/100.jpg
34,2,most,bare,1,audio/most.wav,imgs/100.jpg
35,3,a,bare,1,audio/a.wav,imgs/100.jpg
36,4,three,bare,1,audio/three.wav,imgs/100.jpg
37,5,some,focus,1,audio/f_SOME.wav,imgs/100.jpg
38,6,most,focus,1,audio/f_MOST.wav,imgs/100.jpg
39,7,a,focus,1,audio/f_A.wav,imgs/100.jpg
40,8,three,focus,1,audio/f_THREE.wav,imgs/100.jpg